Tweet Id	Target	Stance	Opinion Towards	Sentiment	full_text
1256380042474450944	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	.@realDonaldTrump, #DrFauci must be permitted to testify before the #AppropriationsCommittee. #WeThePeople have faith in him, as well as in his education, experience, & knowledge. #WhatAreYouTryingToHide? #Covid19 @NitaLowey @AppropsDems @HouseAppropsGOP
1286540073924689923	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	@BFoley82, Fauci's opening pitch showed he is the consummate professional. He didn't want anyone to catch anything. #TrumpVirus2020 #FauciHero
1283506282809503745	fauci	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	neg	@PeterNavarro45 I am extending an invite to you and all your cronnies to #Brooklyn #NYC to repeat the shit you have been talking about our boy @DrAnthonyF I will pay for all of your medical bills afterwards.  #FlattenTheCurve #COVID19 #pandemic #FauciIsAHero
1260239783349059584	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	neg	
1260231896207949824	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	Rand Paul asking the hard questions... True #Patriot. Thank you.  #COVID19 #OPENAMERICANOW #WWG1WGA #TheGreatAwakening #DrFauci #RandPaul
1281637891769118720	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	neg	
1284663683059191814	fauci	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	pos	
1256656378187431939	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	It’s time for #DrFauci to resign from the #TrumpPressConference and go on his own. He should testify before Congress and hold his own pressers about the #coronavirus Right now he is the most trusted man in the USA. #COVID19 #VoteBlue2020 #Biden #wiunion
1249538486673129472	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	After the weird #RushLimbaugh #SOTU Medal of Freedom thing, @realDonaldTrump fix its image by awarding it to #DrAnthonyFauci . @JoeBiden will YOU get it done? Ask @DrBiden! #Biden2020 #COVID19 #CovidUpdates #MAGA2020 #Fauci #FauciMedalOfFreedom @FauciFan #DrFauci   #AnthonyFauci
1233916138544865280	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	
1283872412162035714	fauci	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	neg	
1278442424088608769	fauci	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	neg	@clarityx @michaelaltneu @GavinNewsom Oh hello Dr Lady. You really MUST contact #DrFauci with your proclamation on #masks So many #scientists and they’ve all been wrong. Thank goodness we have brainiacs like you to guide us #WearADamnMask
1288333122984017920	fauci	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	neg	Lack of testing is a huge Trump failure #TrumpLiesAmericansDie  #StandWithFauci
1283788047147053058	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	other	
1289803039604236288	fauci	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	neg	@realDonaldTrump Why do you continue to be such an idiot? Testing has nothing to do with more cases. The cases are there; it’s just whether you are aware of them or not. If you aren’t aware, people contribute to additional spread. This is why we’re not at better here. Believe science. #FauciHero
1284532251355750401	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	Science is real. Scientific and public health experts, including the trusted Dr. Anthony Fauci, are vital to combating COVID-19 and safely reopening the US. It’s important for all Americans to stand strongly behind them and take their advice. #FollowTheScience #IStandWithFauci
1282315620869169153	fauci	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	neg	#Trump says #DrFauci has made mistakes? Fucking seriously? #DonaldTrump and #Pence are killing #Americans. “#Masks have a time and pkace”another idiotic statement from the #President. #MeetThePress #MTP
